Date,id_instr,value
2014-04-15,US31359MWJ88,23125
2014-10-15,US31359MWJ88,1023125
2009-10-22,US4581X0BD97,15000
2010-04-22,US4581X0BD97,15000
2010-10-22,US4581X0BD97,15000
2011-04-22,US4581X0BD97,15000
2011-10-22,US4581X0BD97,15000
2012-04-22,US4581X0BD97,15000
2012-10-22,US4581X0BD97,15000
2013-04-22,US4581X0BD97,15000
2013-10-22,US4581X0BD97,15000
2014-04-22,US4581X0BD97,1015000
2013-04-15,US459058CX99,861.111
2013-10-15,US459058CX99,2500
2014-04-15,US459058CX99,2500
2014-10-15,US459058CX99,2500
2015-04-15,US459058CX99,2500
2015-10-15,US459058CX99,2500
2016-04-15,US459058CX99,1002500
2009-10-22,US45950KAZ30,15000
2010-04-22,US45950KAZ30,15000
2010-10-22,US45950KAZ30,15000
2011-04-22,US45950KAZ30,15000
2011-10-22,US45950KAZ30,15000
2012-04-22,US45950KAZ30,15000
2012-10-22,US45950KAZ30,15000
2013-04-22,US45950KAZ30,15000
2013-10-22,US45950KAZ30,15000
2014-04-22,US45950KAZ30,1015000
2009-09-10,US500769DF83,17500
2010-03-10,US500769DF83,17500
2010-09-10,US500769DF83,17500
2011-03-10,US500769DF83,17500
2011-09-10,US500769DF83,17500
2012-03-10,US500769DF83,17500
2012-09-10,US500769DF83,17500
2013-03-10,US500769DF83,17500
2013-09-10,US500769DF83,17500
2014-03-10,US500769DF83,1017500
2009-03-15,CA13509PBL63,16728.767
2009-09-15,CA13509PBL63,17750
2010-03-15,CA13509PBL63,17750
2010-09-15,CA13509PBL63,17750
2011-03-15,CA13509PBL63,17750
2011-09-15,CA13509PBL63,17750
2012-03-15,CA13509PBL63,17750
2012-09-15,CA13509PBL63,17750
2013-03-15,CA13509PBL63,17750
2013-09-15,CA13509PBL63,1017750
2014-04-03,US912796BA68,1e+06
2014-05-29,US912796BJ77,1e+06
2012-05-01,CA135087ZY37,2239.726
2012-11-01,CA135087ZY37,3750
2013-05-01,CA135087ZY37,3750
2013-11-01,CA135087ZY37,3750
2014-05-01,CA135087ZY37,1003750
2012-02-01,CA135087ZW70,2821.918
2012-08-01,CA135087ZW70,5000
2013-02-01,CA135087ZW70,5000
2013-08-01,CA135087ZW70,5000
2014-02-01,CA135087ZW70,1005000
2012-02-01,CA135087ZX53,2356.164
2012-08-01,CA135087ZX53,5000
2013-02-01,CA135087ZX53,5000
2013-08-01,CA135087ZX53,5000
2014-02-01,CA135087ZX53,5000
2014-08-01,CA135087ZX53,5000
2015-02-01,CA135087ZX53,1005000
2013-05-01,CA135087A958,2821.918
2013-11-01,CA135087A958,5000
2014-05-01,CA135087A958,5000
2014-11-01,CA135087A958,5000
